"","Site","Lat","Long"
"152","21VASWCB-6ARSS047.10",37.0783,-82.0703
"153","21VASWCB-8-PMC009.85",38.1547,-77.9508
"154","21VASWCB-6CBMC026.32",36.7075,-82.4117
"155","21VASWCB-6BSWO001.81",37.0581,-81.9289
"156","21VASWCB-6ARSS024.30",37.2197,-82.3025
"157","21VASWCB-1ASOQ006.73",38.5872,-77.4289
"158","21VASWCB-6CMFH013.21",36.7133,-81.8189
"159","21VASWCB-8-PMK072.34",37.7153,-77.2894
"160","21VASWCB-6BSWO000.11",37.0358,-81.9178
"161","21VASWCB-5BNTW011.90",36.567,-76.1988
"162","21VASWCB-2-POL000.04",37.51,-79.2692
"163","21VASWCB-2-FIN000.81",37.5993,-77.819
"164","21VASWCB-1BRSC001.42",39.0889,-78.0647
"165","21VASWCB-2-MCR002.38",37.3897,-76.8683
"166","21VASWCB-1BMDL060.48",38.1417,-79.2186
"167","21VASWCB-1BNPC000.02",38.846,-78.5295
"168","21VASWCB-4ALOR008.64",37.2936,-79.4558
"169","21VASWCB-4ATRD000.04",36.6739,-79.6439
"170","21VASWCB-4APKP002.31",36.5569,-79.4033
"171","21VASWCB-1AOCC021.35",38.7103,-77.4103
"172","21VASWCB-1APOW003.11",38.5958,-77.2992
"173","21VASWCB-6CHIL000.02",36.6489,-82.4597
"174","21VASWCB-1BSPR000.40",39.0658,-78.0036
"175","21VASWCB-1BCDR013.29",39.0779,-78.3258
"176","21VASWCB-1ASOT001.44",38.755,-77.6742
"177","21VASWCB-6AMCR009.92",37.1497,-82.3725
"178","21VASWCB-1ANOG005.69",39.0772,-77.6978
"179","21VASWCB-3-MAP010.37",38.242,-77.5355
"180","21VASWCB-1BMLC000.40",38.6594,-78.5175
"181","21VASWCB-3-FIR002.35",38.8251,-78.0478
"182","21VASWCB-2-JMS110.34",37.5272,-77.4386
"183","21VASWCB-1BSSF054.20",38.646,-78.5352
"184","21VASWCB-9-TCK000.50",37.0522,-80.7886
"185","21VASWCB-6BSUT001.71",36.8094,-82.5344
"186","21VASWCB-2-HYS001.41",37.9114,-79.4006
"187","21VASWCB-5ABLW022.84",36.7333,-76.9169
"188","21VASWCB-2-FSP000.53",37.3689,-78.6456
"189","21VASWCB-9-STE002.41",37.1839,-80.5011
"190","21VASWCB-8-TRY004.98",38.1869,-77.9269
"191","21VASWCB-5ADMR008.42",36.6178,-77.1183
"192","21VASWCB-2-BCR000.20",37.3892,-79.0594
"193","21VASWCB-5ANTW003.30",36.5669,-76.9466
"194","21VASWCB-9-WFC024.57",37.2156,-81.0919
"195","21VASWCB-1ASLP034.20",39.4353,-78.3053
"196","21VASWCB-7-CAV001.62",37.5436,-76.5564
"197","21VASWCB-6BMCK000.11",37.0911,-81.8339
"198","21VASWCB-6ALAF001.03",37.1664,-82.2733
"199","21VASWCB-6ABIP000.65",37.2236,-82.0981
"200","21VASWCB-2-CHK076.59",37.7006,-77.5136
"201","21VASWCB-6CNFH085.20",36.8906,-81.7497
"202","21VASWCB-1ACAH000.96",38.9818,-77.2807
"203","21VASWCB-2-JMS110.30",37.5278,-77.435
"204","21VASWCB-4ABAN023.28",36.8404,-79.0257
"205","21VASWCB-4ASRE007.90",36.5586,-79.7461
"206","21VASWCB-4ARNF013.66",37.1864,-80.3525
"207","21VASWCB-1BWST000.20",38.9778,-78.1919
"208","21VASWCB-9-SFK001.51",36.9686,-81.1833
"209","21VASWCB-7-DRN024.19",37.7717,-76.7897
"210","21VASWCB-2-WLS034.22",37.4836,-78.3211
